usda say soviet coarse grain import include corn	train	earn
significantly current level step	train	acq
cocoa terminal deposit cut pct icch	train	cpi
trader say supply squeeze day forward april	train	corn
billion baht quarter billion	train	earn
say	train	earn
stewart stevenson service lt ssss th qtr	train	crude
sequester share billion peso peso	train	acq
grow reverse rise money stock interest rate	train	earn
net vs	train	crude
appreciate short period time south korea	train	potato
rate stabilise appropriate level	train	gold
say	train	trade
world cocoa price present interesting	train	earn
reuters political process take time	train	acq
current management division remain	train	gnp
gothenburg trieste warehouse gothenburg material	train	trade
june requirement hold low	train	crude
c o m b co say acquire	train	earn
deposit billion vs billion	train	earn
ground international precedent exist	train	interest
quarter low oil price	train	acq
shr ct vs ct	train	earn
range possible dealer say	train	lead
montedison agrimont unit earning	train	earn
ford raise qtly payout ct shr ct	train	earn
company say santa cruz advise	train	money-supply
previously spokesman international	train	dlr
contribute great stability	train	hog
day pct pct day	train	interest
important capital operating advantage gain locate	train	grain
i u international co say	train	acq
continental say initial payout subject canadian	train	earn
improvement give detail	train	money-fx
lt emcor complete sale stock investor	train	earn
wheat stock project vs	train	earn
production tonne import	train	acq
shr primary ct vs ct	train	earn
shr ct vs ct	train	retail
g meet briefly international monetary fund	train	earn
series piecemeal step combat debt crisis	train	earn
lt montedison spa italy say net	train	earn
share company common stock	train	earn
finalize	train	earn
tokyo face deadline april washington	train	acq
replace company profit likely substantial	train	grain
throw company hand buyer	train	earn
rapeseed overnight undisclosed price half	train	crude
revs vs	train	iron-steel
war underground mine masbate accelerate	train	acq
mature april	train	acq
dealer say small volume award	train	ship
decline money market rate federal reserve	train	interest
charge off mln compare net charge off	train	acq
position local producer negotiate	train	earn
net loss mln vs loss mln	train	earn
condition indicate	train	earn
property trust say declare intitial dividend	train	earn
say worldwide market cardiovascualr therapeutic	train	earn
southeast bancorp lt stb act brazilian debt	train	money-fx
dlrs loan brazil mln loan ecuador	train	earn
firm sale declare destination	train	earn
nato member stem continental shelf dispute	train	earn
quarter sale domestic market advance pct	train	retail
grand metropolitan plc heublein inc mln dlrs	train	lumber
equity ratio quote smc chief financial director ramon	train	acq
company say plan diversify new product	train	cpi
ahead year lead strong increase medical	train	acq
u s agriculture department	train	earn
expedite transaction j p industry say	train	earn
industrial country gross national product	train	ipi
fed heller see return slow money supply growth	train	acq
month end march march figure	train	earn
buy mln stg band bank bill pct	train	acq
net mln vs mln	train	trade
agreement u s agriculture department say	train	coffee
industry well price weak dollar	train	grain
ttl supply x	train	crude
net loss vs loss	train	crude
communique clear lead nation want	train	earn
hawaiian electric say plan purchase	train	acq
trader suggest business dlrs	train	earn
share	train	earn
west german beet planting delay week	train	earn
rise month end march total	train	earn
intercare say increase reserve	train	grain
doe run raise lead price ct ct	train	acq
term subject approval regulatory authority	train	earn
chance congress act curb abuse	train	bop
westamerica bancorp lt wab st qtr net	train	coffee
u s textile company burlington	train	earn
frankfurt zurich dealer see dollar stay broadly	train	ship
lebanese pound fall sharply dollar	train	acq
yen current level appropriate	train	grain
purchase purolator common stock	train	acq
member limit sale product effort	train	acq
e f hutton lt efh unit purolator offer expire	train	acq
lex vehicle own equally lex service lt lombard	train	earn
volatile say j p morgan co inc chairman lewis preston	train	interest
say sale increase pct mln hectoliter	train	acq
gramme	train	earn
hold pct stake say expect maintain	train	earn
pretax profit mln stg vs mln	train	trade
agreement guarantee access spanish market	train	earn
note net exclude dlr gain termination	train	acq
include television audio equipment computer	train	earn
sci med say continue believe patent suit	train	earn
mln tonne fix year say add bad weather hit	train	acq
hard predict week substantial award	train	acq
meal government choose	train	earn
month follow july venture	train	earn
acquire number security service company recently	train	alum
total outstanding share pct	train	coffee
reuter m	train	interest
edmonton alberta plant schedule	train	meal-feed
kurz kasch inc dayton thermoset	train	earn
intercare lt care post th qtr loss	train	strategic-metal
near term money market dealer say	train	acq
destination tonne	train	earn
follow example cpa member meet yaounde	train	crude
view say	train	interest
mln	train	interest
july bank hold company reach debt	train	earn
donaldson lufkin jenrette analyst richard henderson	train	earn
dealer frankfurt zurich see dollar remain	train	cocoa
grower expect palm oil price ease later year	train	acq
frontier insurance group inc	train	money-supply
believe significant increase taxis	train	interest
milan dealer sceptical communique	train	earn
kuroda say u s decision base incorrect datum	train	reserves
swiss bank economist say believe market	train	earn
southington savings bank lt ssbb st qtr net	train	acq
essential curb record u s trade shortfall	train	earn
external account good shape estimate	train	acq
monetary affair david nendick referral	train	earn
approval	train	earn
american realty trust lt arb share southmark	train	earn
breakdown supply distribution wheat	train	acq
agency natural resource energy official say	train	interest
major rubber producer meet singapore	train	earn
group good overall year north america	train	crude
conrac start bid	train	trade
sdhr ct vs ct	train	copper
currency bond analyst say	train	earn
automobile manufacturer home builder use lot	train	earn
white house say japanese tarriff likely	train	acq
result behavior pattern heller warn	train	money-fx
revs mln vs mln	train	acq
hartselle ala asset mln dlrs undisclosed	train	earn
plant japanese firm plan suspend output	train	earn
dlrs maximum mln dlrs payment	train	oilseed
ccf report pct profit boost share split see	train	acq
officer company	train	earn
payable june	train	interest
argentine grain belt temperature	train	acq
rite aid corp lt rad set dividend	train	earn
cost effective create comparable branch	train	earn
pipeline bula oilfield seram indonesia plus	train	acq
citibank norway unit lose mln crown	train	dlr
steady dlrs pay u s gulf morocco	train	money-fx
net vs	train	acq
pay	train	acq
debtor country look wealthy	train	trade
rise mln dlrs financial institution foreign	train	gnp
ttl supply x	train	acq
fertilizer transportation volume flat say	train	gnp
buy mln sequester share united coconut	train	acq
day pct pct day	train	earn
note net include gain dlrs	train	earn
fact little say	train	gnp
year	train	earn
mln franc issue price pct give	train	copper
africa announce december	train	gnp
bundesbank currently steer money	train	acq
overall sale rise pct	train	acq
export licence tonne current series white	train	acq
home give guarantee market abroad enable sell	train	acq
record date southmark shareholder receive	train	earn
introduction future trading later rubber	train	money-supply
record april	train	crude
february spokesman say spie batignolle convert	train	acq
include initial stock dividend final distribution	train	earn
right level change damage growth	train	dlr
maturity rate old rate maturity	train	ipi
days	train	acq
reach support market jorge cardenas manager	train	dlr
security pct net	train	acq
ge quarter reason	train	ship
say station wtaf philadelphia	train	palm-oil
later today de zeeuw meet senate agriculture	train	dlr
dlrs troy ounce	train	grain
addition santa cruz sierrita agree vote	train	acq
complaint justify	train	money-fx
tug crew new south wale nsw	train	trade
sale account pct total	train	earn
strongly urge shareholder sign proxy card send	train	acq
extent minimum acceptable	train	acq
sharp fall redress trade imbalance clearly pose	train	acq
rise price morrison say recommend stock	train	rubber
dollar hover midday	train	earn
year old apparel manufacturer recently post	train	dlr
meat kenneth blaylock president american federation	train	corn
bank japan intervene soon tokyo opening	train	interest
information time february ambrosiano chairman	train	acq
european community ec expect	train	barley
acre vs acre estimate month	train	cpi
liquidity employment rise say	train	interest
attention stock pilot proposal act	train	acq
time inc say time life video inc	train	earn
stock share dlrs share	train	earn
month forward robusta coffee grade	train	earn
houssel say showboat earning fiscal	train	acq
information give publicly	train	earn
federal government report today monthly	train	corn
cwt acre vs cwt acre year ago usda say	train	crude
beryl sprinkel say reagan administration remain strongly	train	earn
operation robert say	train	coffee
fhlbb change short term discount note rate	train	palm-oil
end stock	train	acq
brazil world number producer private hand	train	earn
main topic discuss closed door meeting	train	earn
supplier consider	train	earn
affect	train	earn
note current qtr figure exclude operating loss	train	interest
secretary defense influence	train	crude
revs mln vs mln	train	earn
area sow sunflower mln hectare	train	crude
fed spokeswoman comment dealer report	train	earn
acquisition satisfy initial payment	train	earn
reach agreement price share method	train	acq
pct official figure mln	train	acq
position place	train	earn
shr ct vs ct	train	oilseed
protectionism high farm price support house lawmaker	train	acq
treasury secretary james baker say	train	acq
automotive group turnover mln stg lex	train	corn
trade representative michael smith aim persuade u s	train	bop
billion mark result total dividend payment	train	earn
economic development say accord prevent yen	train	acq
deputy prime minister kim mahn je say	train	earn
note share adjust pct stock dividend november	train	crude
company report profit mln dlrs	train	carcass
japanese investor rapid currency fluctuation	train	earn
active east weak economically depress	train	acq
cascade international europa gmbh west germany say	train	copper
koehler say bundesbank change money market rate	train	earn
inquiry japan united states	train	trade
dome lt dmp plan force sale encor stake	train	earn
sale mln vs mln	train	earn
exploration interest queensland hainan island china	train	veg-oil
colombia national coffee grower federation say	train	earn
early receive mln dlr takeover offer j p	train	earn
member tell de zeeuw lower u s loan	train	earn
johnstown saving bank fsb lt jsbk st qtr net	train	earn
accrue interest loan payment day overdue	train	earn
purchase asset include plant equipment	train	reserves
jp industry lt jpi confirm proposal	train	earn
dome say filing debt plan propose make	train	earn
cordoba santa fe entre rio misione	train	earn
needless overprescription pacemaker	train	money-fx
new pact responsive market trend	train	ship
think partner hopeful situation	train	grain
value dollar currency basically correct	train	acq
saudi rate rise bahrain bank catch short	train	dlr
adhere pact terminate	train	cocoa
quarter mln dlrs company	train	money-fx
american brand acquisition	train	earn
gr total nil nil	train	acq
billion dlrs february compare upward revise	train	acq
cardiovascular systems inc march	train	earn
pct day	train	copper
say proved reserve december total mln	train	acq
china wheat crop threaten pest disease	train	acq
bundesbank see change monetary course	train	earn
share sale mln dlrs quarter	train	acq
say	train	earn
export	train	money-fx
metal trade district council san francisco division	train	interest
billion dlrs oil energy product make	train	earn
copper townson say	train	acq
late early	train	earn
say	train	earn
inflation act slow growth credit	train	acq
share encor require dispose company	train	grain
day bill billion dlrs day bill mln	train	earn
sterling exchange rate dlrs	train	acq
trading london potato future	train	earn
phoenix financial corp undisclosed term resign	train	ipi
unilever aquire chesebrough billion dlrs order	train	pet-chem
trading prospect remain favourable burmah oil co plc	train	acq
price cent cent lb effective immediately	train	crude
usda u s end corn stock mln bu wheat mln soybean mln	train	earn
contract pct year	train	earn
recognize exchange rate adjustment time	train	money-supply
pct high official figure	train	earn
hanover insurance lt hin split approval	train	interest
u s market year depress surplus production	train	earn
note current year net period include pretax charge	train	money-fx
decline attend february meeting group seven	train	earn
purchase march	train	ship
say c j lawrence analysts harry mortner	train	crude
manage director redland plc lt rdld l new chief	train	acq
u s remain large supplier	train	earn
say merger initially reduce	train	interest
shr seven ct vs ct	train	earn
performance plastic major appliance employer	train	cotton
kilos trader say	train	hog
net vs	train	nat-gas
require immediate payment mln dlrs debenture	train	money-supply
mln dlrs add earning share exceed	train	ship
detail disclose	train	grain
draw lme stock	train	earn
interest investment australia need shield	train	acq
modest rally canadian dollar rise	train	iron-steel
washington today datum hope refute u s charge	train	acq
intervention nation unprecedented recent	train	acq
bank japan buy dollar tokyo dealer	train	acq
auditor deloitte haskin sell say hawkeye annual	train	acq
net vs	train	corn
mln guilde mln turnover fall	train	interest
company agreement merge lt lomak	train	gnp
g meeting contain significant new factor	train	earn
arrive system target zone currency despite	train	gnp
technology weapon system test division new technology	train	crude
dominion textile year unsuccesful mln	train	earn
heineken spanish activity start yield profit	train	acq
spending relatively low value canadian currency	train	cpi
principle debt restructuring plan dome say	train	acq
commission source say	train	money-supply
add current discussion reaffirmation	train	gold
japanese finance minister kiichi	train	interest
file sec	train	earn
statement atlas say development pre world	train	interest
oper net mln vs	train	acq
final dividend guilde pct stock vs	train	coffee
hold talk bail package troubled mining	train	acq
say weak dollar risky appreciation	train	acq
item vacuum pack	train	gold
shr ct vs ct	train	acq
net vs	train	crude
buy enron chemical fourth quarter year	train	earn
storage problem report say	train	grain
revs mln vs mln	train	earn
begin april	train	trade
rule liberal democratic party ldp nurture prime	train	earn
wallin say company virtual exclusivity	train	acq
note pct coupon price	train	earn
shareholder ask approve issue	train	earn
cattle slaughter guesstimate	train	earn
canada february trade surplus billion dlrs	train	crude
central bank governor francisco gros expect ask	train	earn
end stock	train	coffee
ontario plant delivery complete august	train	earn
physio technology inc say	train	earn
disposition sequester share san miguel corp say	train	gold
paris italy participate fully meaningful	train	ship
january surplus originally report mln	train	interest
time cut rate concretely suggest	train	gnp
central bank sufficient experience exchange market	train	earn
u s demand japan open farm product market	train	cotton
comment finance official closely state	train	earn
condition	train	earn
pesticide animal health care product agrimont	train	earn
share accordance instruction foothill	train	earn
trader expect followthrough sell product	train	coffee
net vs	train	pet-chem
note prior year include result rca corp	train	dlr
vs month stock sept	train	sugar
nippon steel deny china seek japanese plant	train	earn
semi finished product	train	earn
expect unnoticed economy	train	alum
week bank reserve maintenance period today look	train	crude
edmonton site suitable raw material	train	fuel
average closing market price right american	train	money-supply
turn disease say rep james olin d va	train	coffee
baker urge international monetary fund	train	acq
cotton mln lb bale stock july	train	acq
reuter m	train	grain
ag say resistance climb	train	acq
dlrs	train	acq
copper contain concentrate short ton molybdenum	train	earn
steel industry	train	grain
attributable minority profit debit mln stg vs mln	train	crude
repurchase share pct nortek inc	train	earn
inc restructuring certain partnership	train	earn
bennett johnston repeal mandatory incremental pricing	train	acq
paris group publish daily franc tin price	train	acq
hopefully overreact instal unnecessarily	train	acq
j p morgan co inc say	train	money-fx
charles bradford merrill lynch co order	train	gas
kuroda japan deputy minister international trade	train	earn
import u s drop active sale drive	train	earn
u k money market give mln stg help	train	acq
faction ignore mpt s tanaka	train	acq
order maintain disclosed profit level	train	acq
note town country jewelry manufacturing corp	train	money-fx
company say revenue gain electronic major	train	dlr
kilo french federation non ferrous metal say	train	earn
yen paris agreement appear face	train	earn
end march year early figure	train	earn
internationalized say waseda university professor mitsuru	train	corn
net vs	train	earn
price source close meeting cocoa producer	train	earn
period end march analyst estimate	train	copper
proposal basis detailed	train	earn
lower discount rate january	train	interest
elevator loading wait	train	acq
acquisition follow exxon withdrawal south	train	gnp
imf reduce government subsidy bill	train	earn
upturn base strong order firm	train	earn
say dollar break range	train	acq
george wimpey profit pct mln stg	train	interest
mln barrel u s reserve	train	earn
billion thailand improve business climate	train	earn
lousiana democrat say	train	earn
possible acquisition subject applicable real	train	trade
o o p d nil nil nil nil	train	earn
medium term koehler say	train	ship
sale vs	train	earn
origin u s	train	acq
increase entirely sharp rise	train	earn
purchase price disclose reader digest say	train	earn
decline pct december new industry order fall	train	acq
company say write include expense	train	acq
shr dlrs vs dlrs	train	veg-oil
kuroda say leave tokyo today new proposal	train	acq
canada trade rise see start recovery	train	acq
united states	train	earn
reduce despite later warm dry weather	train	earn
year monetary source say understand	train	earn
trading profit include	train	sugar
mln barrel energy information administration eia	train	dlr
withdrawal right expire extend	train	money-fx
additional tonne wheat flour	train	money-fx
new jersey investor joseph	train	earn
modification necessary burn coal alternate	train	ipi
annual meeting providence today company report	train	crude
compaq lt cpq expect high quarter net	train	crude
say predict rise industrial production u s	train	crude
newsletter report malaysia oil palm output likely	train	earn
telecommunications field country continue protect	train	money-fx
lazo say pct stock dividend payable october	train	earn
officially start production highland valley total ore	train	coffee
sow august september far	train	money-fx
current loss half slow export cause	train	dlr
undercut chinese material trade	train	earn
pct march pct december year	train	earn
uk intervention bd say ec sell tonne white sugar rebate ecus	train	acq
germany happen koehler say	train	earn
tender call shipment tonne	train	interest
spain mln dlr current surplus february	train	ship
say central bank council give opinion	train	acq
mln tonne vs mln month	train	jobs
whirlpool corp lt whr st qtr net	train	earn
dlrs tonne	train	acq
rise mln barrel mln	train	trade
net vs	train	interest
afternoon trading	train	interest
energy u s petrochemical industry	train	crude
mid january	train	acq
maize hike retail price maize meal	train	earn
market harris point recent investigation	train	earn
current season week end april	train	earn
european market react quietly g communique	train	acq
alois schwietert chief economist swiss bank corp	train	crude
lt international thomson organisation ltd	train	earn
theodor stadelmann dealer bank julius baer co ltd	train	acq
u s dollar today dealer attribute	train	wpi
independent chairman dutch cargo dispute	train	carcass
house armed service committee	train	earn
total tonne u s soyoil pl	train	earn
information restriction protect interest	train	earn
ec mainly tin extension u k stand take	train	acq
independent representative dealer employee	train	cpi
question cooperative action	train	acq
decision sell strategic stockpile material	train	earn
ec authorise export tonne maize maximum rebate ecus tonne trade source	train	acq
state monopoly expense economic	train	trade
speak national association manufacturer	train	corn
serve mainstay develop country export	train	interest
compare production capacity mln bpd mention	train	earn
assistance economic weakness develop nation	train	money-fx
company say guilder revenue profit pressure	train	interest
volkswagen dividend decision tomorrow	train	acq
equivalent billion dlrs year	train	earn
avg shrs vs	train	acq
money decline pct pct	train	livestock
season vs month	train	trade
shearson see soviet shipment soon return year	train	acq
open market instrument steer market interest rate	train	earn
u s courier operation	train	earn
shr profit ct vs loss ct	train	earn
dlrs mcf respectively year total natural gas	train	crude
pergamon holding reduce bpcc hollis stake	train	earn
billion dlrs year early say year	train	grain
week hope cut dash tuesday allocation	train	earn
net loss mln pesos year end december	train	acq
institute incomex say private businessman	train	acq
excess inventory time	train	acq
relatively high level real u s	train	acq
canada inc metallgesellschaft canada ltd acquire	train	earn
airsensors inc lt arsn rd qtr jan loss	train	acq
night swiss franc firm slightly mark	train	earn
keep tight rein credit unnecessary say	train	interest
california biotechnology	train	acq
burmah oil profit climb mln stg	train	acq
mln barrel crude oil stock strategic	train	money-fx
indonesian inflation rate pct	train	acq
outright purchase bill coupon afternoon	train	acq
year	train	earn
showboat earn dlrs year	train	cotton
today company report quarter earning	train	acq
different diametrically oppose	train	acq
change estimate effective tax rate	train	earn
revs vs	train	earn
buenos air mid april	train	earn
note company forecast current year group shr	train	carcass
mln dlrs cash payment	train	earn
prevent arbitrager have jump general public	train	gnp
net borrowing mln stg vs mln	train	interest
possible maintain high foodgrain production signify	train	earn
open domestic market foreign good service	train	earn
reaffirm support paris accord currency	train	iron-steel
element target rate yen currency	train	earn
ministry international trade	train	earn
greece include right continental shelf aegean	train	earn
year	train	earn
official rule party say	train	earn
participate meeting	train	acq
reuter m	train	cocoa
revs vs	train	earn
source say market wary agressively	train	gnp
failure monsoon rain meterological	train	earn
yen current level appropriate	train	acq
st half	train	earn
unnamed b nil nil	train	acq
general consensus agreement prolong	train	earn
proxmire say intend introduce bill later	train	ship
mln end mln year early	train	earn
paris place	train	interest
rise	train	earn
quarterly nickel market report	train	iron-steel
look possibility	train	acq
activator tpa different process genentech	train	acq
compare year early figure	train	earn
loss mln dlrs setback trading	train	earn
public law approximately tonne	train	earn
dlrs ct share quarter dlrs	train	crude
shr ct vs give	train	earn
qtly div ct vs ct prior	train	earn
discuss afternoon session	train	earn
net loss mln vs loss mln	train	acq
provision loan loss quarter mln	train	crude
dominion textiles inc canada buy pct	train	ship
targette currency rate schlesinger say	train	ship
import mln tonne vs mln month	train	bop
g issue statement meet	train	copper
quarter loss dlrs incur	train	earn
foster level	train	gold
court final ruling	train	crude
market pool	train	corn
national research council recommend fsis	train	money-fx
company like dupont lt dd monsanto co lt mtc spend	train	acq
european currency market react quietly	train	acq
honduras tender april	train	crude
pay similar fixing end march	train	crude
name	train	veg-oil
york close yesterday	train	gas
u s agriculture department	train	acq
external live expansionary	train	money-fx
pldt spokesman say company profit likely	train	earn
gaf unsuccessful attempt acquire	train	earn
price increase president kenneth kaunda later	train	acq
hawkeye bancorp annual	train	earn
telecomputing corp venture capital firm lt welsh	train	earn
lt hoechst celanese corp say	train	income
discussion	train	earn
ago	train	interest
movement affect	train	gold
good economic position	train	earn
outgoing billion pact expire	train	acq
join foreign bidder sequestered share	train	lei
lvi group lt lvi acquisition	train	grain
cxr telcom corp lt cxrl rd qtr march net	train	tin
communique say change reverse dollar	train	earn
february mepc agree bid oldham base	train	ship
proxmire say recent insider trading stock scandal increase	train	acq
underlying trend show improvement intend	train	earn
phoenix representative name datum access	train	earn
company vieille montagne sa lt vmnb br	train	corn
report believe official movement	train	earn
tonne export march say	train	interest
central banker group end nearly	train	interest
commodity credit corporation	train	ipi
fact questionable motive delay early	train	earn
seek japanese action stimulate economy appear	train	earn
community bank shareholder	train	earn
trader france receive tonne	train	coffee
speculate american brand find candidate	train	earn
certain minimum future earning	train	crude
pakistan cotton crop see record mln bale	train	earn
beef disease free area clamp month suspension	train	earn
share estimate company say medtronic	train	gnp
mln dlrs budget year union texas	train	interest
significantly reduce fix overhead	train	cotton
commercial information business	train	money-fx
disease southwestern matabeleland industry source say	train	crude
billion	train	acq
senior ministry official say	train	barley
chance convince u s drop threaten trade	train	interest
result incidental rise net profit mln	train	earn
a knuckle peel	train	cpi
year old iran iraq war kuwait doorstep	train	acq
dollar support major electrical	train	gold
original tender	train	acq
let strength bank demand set allocation rate	train	acq
ind ttl f	train	earn
general electric cite strong result tv network	train	crude
real estate developer donald trump hold	train	acq
gencorp buy share dlrs	train	earn
outlook look encouraging company realise	train	acq
john psarouthakis chairman president jp industry	train	cotton
asset billion vs billion	train	earn
mark mark start	train	trade
burlington say know report true	train	jobs
april petition file eduardo cojuangco	train	acq
shr nil vs nil	train	alum
plunge world exchange market	train	earn
afternoon	train	acq
mln bale lbs cotton current	train	crude
revenue	train	crude
pay	train	earn
domestic economy reduce dependence export remove	train	gnp
electro rent corp lt elrc rd qtr feb net	train	money-fx
cocoa exporter expect limit sale	train	earn
cytotech	train	earn
oper net profit vs loss	train	acq
clevite industry say j p industry offer	train	earn
underlying rate inflation pct	train	acq
ship load raw sugar await	train	earn
humana lt hum sell medical office	train	earn
government approval	train	earn
say team south korea taiwan	train	copper
manage director pace consultants inc houston demand	train	earn
officially billion dlrs earn investment income	train	gold
australian government await outcome trade	train	ship
mln tonne month estimate output	train	money-fx
operate cost billion stg billion	train	money-supply
year domestic industry earn total billion	train	earn
little favorable philip morris rj reynolds	train	acq
division mln dlrs james beam distilling co unit	train	interest
recently report half net fall	train	crude
hold wage increase pct inflation target year	train	earn
year avoid disruption economic hardship	train	crude
forecast argentina coarse grain crop mln	train	money-fx
data translation inc lt datx st qtr feb net	train	earn
vs mln	train	earn
deliver annual meeting san francisco reiterate	train	corn
despite link sumitomo president koh komatsu	train	earn
hanover insurance co say	train	copper
report date april say region account	train	acq
pct voting power company	train	acq
tender accept billion dlrs day bill	train	acq
trade stand continue	train	earn
nl pct say statement	train	money-supply
quota nearly mln head live cattle	train	interest
deposit billion vs billion	train	earn
shr ct vs ct	train	rubber
security political issue say	train	acq
qtly div ct vs ct prior	train	bop
japanese industry follow rise value yen	train	corn
end current practice permit foreign meat	train	earn
final test inc lt fnlt th qtr loss	train	earn
france balladur say target zone notion nearer	train	barley
day say sale enable day accelerate	train	interest
developer indicate talk take	train	dlr
company report earning continue	train	bop
shr dlrs vs dlr	train	earn
coffee grower federation mean total	train	acq
package economic measure boost japanese economy	train	earn
dollar yen market	train	acq
stockpile contain billion dlrs material	train	sugar
shr ct vs ct	train	gold
revs vs	train	earn
tentatively acquire worldwide right product madam	train	acq
year atrocious	train	acq
tonne french soft wheat delivery	train	cpi
system mln stg early revise	train	cocoa
discuss increase regional cooperation rubber marketing	train	strategic-metal
committee baker reiterate group seven statement	train	earn
regulatory approval company say	train	lumber
record april	train	trade
rjr nabisco lt rjr offset gain charge	train	crude
short intermediate term base improve order rate	train	acq
start year trader say partly	train	earn
dlrs receive cash sale agrico chemical co	train	earn
available	train	earn
kind deterioration trade relation	train	earn
canada february trade surplus billion dlrs	train	coffee
month stock manager expect enter	train	earn
revs mln vs mln	train	earn
maize sow mln mln hectare	train	earn
say	train	jobs
acquire pct interest foothill	train	acq
short deficit reduction goal billion dlrs	train	ship
bank system inc lt fbs st qtr net	train	earn
record	train	earn
current level currency range	train	crude
pct say	train	acq
note qtr net reduce mln dlrs	train	acq
pay particular attention lack	train	nickel
cargill grain port allen	train	trade
lead neighbouring beef produce botswana zambia	train	rubber
analyst say ual vulnerable attack	train	gnp
maize tonne free market bread make wheat	train	earn
march figure stand pct	train	pet-chem
washington today tomorrow meet congressional	train	acq
large number new insurance product emerge	train	acq
parent company net mln mark say recommend	train	earn
diligence	train	interest
intervention rate unchanged pct inject fund	train	earn
carefully word know mean mean	train	earn
say time louvre agreement expression	train	grain
transaction subject execution definitive	train	interest
action call nsw trade labour council	train	earn
dutch state capacity firm sole shareholder	train	earn
position investment reveal plan	train	earn
billion dlrs new business	train	earn
jc penney bil bil	train	earn
despite bearishness merrill bradford continue	train	acq
sign italian delegation	train	acq
give detail	train	iron-steel
need change relative interest rate need	train	earn
ual inc cite company policy tell	train	jobs
year	train	grain
season sunflowerseed production forecast	train	interest
company quality leader industry	train	sugar
huge foreign debt	train	corn
target merchant ship ussr trader say	train	earn
dominion call burlington lt bur report rumor	train	acq
billion mark flow offset incoming fund	train	interest
billion dlrs february import slip billion	train	dlr
association say	train	earn
investigation allegation dump japanese	train	acq
mykon wave arrive port recently	train	acq
u s agriculture department	train	earn
small scale spot business report west german	train	acq
chance persuade u s drop threaten trade	train	earn
pay april	train	housing
agree term sale	train	earn
year	train	acq
demand winter battery manufacture hold	train	earn
standstill agreement santa cruz resources inc	train	acq
koehler know liberal	train	earn
gordex mineral locate canada gold deposit	train	earn
company say loss follow quarter modest	train	oilseed
agreement ability return profitable	train	earn
range disappointment concrete	train	heat
say charge result pre operating expense	train	earn
corp acquisition central saving loan association	train	pet-chem
parana state umuarama nil paranavai nil londrina nil	train	oilseed
producer base revenue privately hold company own	train	earn
kuroda say take new proposal	train	money-fx
ask japan committed fresh measure	train	acq
june shipment etc arango say	train	trade
discussion progress recommend	train	acq
basic deposit cocoa future	train	rubber
revenue cut pct spend pct	train	earn
mark support dollar	train	acq
cheque collateral consumer	train	nat-gas
j p industry say propose transaction	train	earn
mth	train	veg-oil
silvia tell reuters	train	earn
bankers trust say assume debt negotiation	train	interest
import good expensive chase away foreign	train	earn
day pct pct day	train	interest
